APOLLO_TEAM__C,APOLLO_USER__C,,Role__c,Primary__c
a00Dp000008TtvsIAC,a01Dp000002Ltb2IAC,,Admin,TRUE
a00Dp000008TtvsIAC,a01Dp000002Ltb0IAC,,Member,FALSE
a00Dp000008TtvtIAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008TtvtIAC,a01Dp000002Ltb2IAC,,Member,FALSE
a00Dp000008TtvuIAC,a01Dp000002Ltb2IAC,,Admin,TRUE
a00Dp000008TtvuIAC,a01Dp000002Ltb0IAC,,Member,FALSE
a00Dp000008TtvvIAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008TtvvIAC,a01Dp000002Ltb2IAC,,Member,FALSE
a00Dp000008TtvwIAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008TtvwIAC,a01Dp000002Ltb2IAC,,Member,FALSE
a00Dp000008TtvxIAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008TtvxIAC,a01Dp000002Ltb2IAC,,Member,FALSE
a00Dp000008TtvyIAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008TtvyIAC,a01Dp000002Ltb2IAC,,Member,FALSE
a00Dp000008TtvzIAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008TtvzIAC,a01Dp000002Ltb2IAC,,Member,FALSE
a00Dp000008Ttw0IAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008Ttw0IAC,a01Dp000002Ltb2IAC,,Member,FALSE
a00Dp000008Ttw1IAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008Ttw2IAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008Ttw3IAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008Ttw4IAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008Ttw5IAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008Ttw6IAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008Ttw7IAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008Ttw8IAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008Ttw9IAC,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008TtwAIAS,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008TtwBIAS,a01Dp000002Ltb0IAC,,Admin,TRUE
a00Dp000008TtwCIAS,a01Dp000002Ltb1IAC,,Admin,TRUE
a00Dp000008TtwDIAS,a01Dp000002Ltb1IAC,,Admin,TRUE
a00Dp000008TtwEIAS,a01Dp000002Ltb1IAC,,Admin,TRUE
a00Dp000008TtwFIAS,a01Dp000002Ltb1IAC,,Admin,TRUE
a00Dp000008TtwGIAS,a01Dp000002Ltb1IAC,,Admin,TRUE
a00Dp000008TtwHIAS,a01Dp000002Ltb1IAC,,Admin,TRUE
a00Dp000008TtwIIAS,a01Dp000002Ltb1IAC,,Admin,TRUE
a00Dp000008TtwJIAS,a01Dp000002Ltb1IAC,,Admin,TRUE
a00Dp000008TtwKIAS,a01Dp000002Ltb3IAC,,Admin,TRUE
a00Dp000008TtwLIAS,a01Dp000002Ltb3IAC,,Admin,TRUE
